# tag pbvalue tag_id
CCNE 1.144000 1921
CCOEY 7.970000 1923
CCOJY 0.650800 1925
CCRC 1.148000 1929
CCRN 3.387000 1930
CCS 2.004000 1931
CCU 1.811000 1933
CCV 1.360000 1934
CCVI 1.330000 1935
CCX 1.477000 1936
CCXI 2.011000 1937
CD 3.947000 1939
CDAK 6.528000 1940
CDAY 6.191000 1941
CDE 3.741000 1942
CDEV 0.582700 1943
CDEVY 0.830500 1944
CDK 14.120000 1947
CDLX 4.740000 1948
CDMO 14.830000 1949
CDNA 8.981000 1950
CDNS 13.910000 1951
CDR 0.592400 1952
CDTX 52.070000 1953
CDW 20.030000 1954
CDXC 12.960000 1955
CDXS 8.027000 1956
CE 5.259000 1958
CEA 1.006000 1960
CECE 1.328000 1963
CEI 6.635000 1965
CEIX 0.904300 1966
CELC 9.636000 1967
CELH 43.460000 1968
CELJF 1.103000 1969
CEMI 2.782000 1971
CENH 1.314000 1972
CENT 2.623000 1973
CENTA 2.424000 1974
CENX 3.023000 1975
CEO 0.818900 1976
CEPU 0.288200 1977
CERC 7.545000 1979
CERE 5.023000 1980
CERN 5.470000 1981
CERS 10.570000 1982
CERT 4.880000 1983
CETX 0.838300 1985
CEVA 3.908000 1988
CF 3.741000 1990
CFAC 1.339000 1991
CFB 1.211000 1992
CFBK 1.040000 1993
CFFE 1.295000 1995
CFFI 0.922600 1996
CFFN 1.396000 1997
CFG 1.031000 1998
CFIV 1.274000 2000
CFMS 1.818000 2001
CFNB 0.833300 2002
CFPZF 1.512000 2004
CFR.SW 1.859000 2005
CFR 1.859000 2006
CFRUY 3.225000 2007
CFRX 2.554000 2008
CFST 1.839000 2009
CFV 1.272000 2010
CFVI 1.293000 2011
CFX 1.422000 2012
CG 4.417000 2014
